trigger_name,table_name,definition
RI_ConstraintTrigger_c_20222,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20222"" AFTER UPDATE ON public.commandes FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20225,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20225"" AFTER DELETE ON public.etablissements FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20226,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20226"" AFTER UPDATE ON public.etablissements FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20227,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20227"" AFTER INSERT ON public.commande_items FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20228,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20228"" AFTER UPDATE ON public.commande_items FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20231,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20231"" AFTER DELETE ON public.etablissements FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20232,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20232"" AFTER UPDATE ON public.etablissements FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20233,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20233"" AFTER INSERT ON public.ravitaillements FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20234,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20234"" AFTER UPDATE ON public.ravitaillements FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20237,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20237"" AFTER DELETE ON public.etablissements FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20238,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20238"" AFTER UPDATE ON public.etablissements FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20239,ravitaillement_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20239"" AFTER INSERT ON public.ravitaillement_items FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20240,ravitaillement_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20240"" AFTER UPDATE ON public.ravitaillement_items FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20243,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20243"" AFTER DELETE ON public.etablissements FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20244,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20244"" AFTER UPDATE ON public.etablissements FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20245,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20245"" AFTER INSERT ON public.factures FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20246,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20246"" AFTER UPDATE ON public.factures FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20249,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20249"" AFTER DELETE ON public.etablissements FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20250,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20250"" AFTER UPDATE ON public.etablissements FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20251,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20251"" AFTER INSERT ON public.encaissements FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20252,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20252"" AFTER UPDATE ON public.encaissements FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20255,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20255"" AFTER DELETE ON public.etablissements FROM audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20256,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20256"" AFTER UPDATE ON public.etablissements FROM audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20257,audit_logs,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20257"" AFTER INSERT ON public.audit_logs FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20258,audit_logs,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20258"" AFTER UPDATE ON public.audit_logs FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
trigger_log_etablissement_creation,etablissements,CREATE TRIGGER trigger_log_etablissement_creation AFTER INSERT ON public.etablissements FOR EACH ROW EXECUTE FUNCTION trigger_log_etablissement_creation()
